px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
68.3493	24.3916	2.69652	0.212975	-0.045265	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
70.821	24.8817	3.22123	0.228139	-0.00664425	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.7807	24.8658	2.52288	0.222435	-0.0362435	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
72.8911	24.719	2.56866	-0.150923	-0.247603	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.9404	24.7354	2.56653	-0.154383	-0.26212	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
74.9997	25.2472	2.27241	0.34367	0.209765	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
74.9848	25.2448	2.19117	0.340245	0.209404	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
77.1138	24.9462	2.37214	-0.410167	-0.387599	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
77.1375	24.9522	2.3194	-0.436174	-0.422607	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
79.0996	25.0172	1.77452	0.0810236	0.18058	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
79.1169	25.016	1.87818	0.0963518	0.198659	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
80.8042	24.8751	2.11846	-0.0293721	-0.00304212	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
80.8504	24.8822	1.82299	-0.0776628	-0.0853774	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
82.6129	24.6373	2.4495	-0.0860173	-0.0363737	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
82.5677	24.62	2.00873	-0.200599	-0.237692	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
84.1693	24.5426	2.05871	-0.00452697	0.0240381	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
84.1591	24.5463	1.83156	-0.0344977	-0.0402886	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
85.6376	23.8171	1.96119	-0.52551	-0.313767	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
85.6943	23.8309	2.03735	-0.522617	-0.325507	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
86.9435	23.5117	1.21031	-0.285849	0.00874334	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
87.0674	23.5445	1.36557	-0.22209	0.0502596	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
88.807	22.7943	2.71139	-0.438759	-0.113373	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
88.7176	22.751	2.42211	-0.698249	-0.449944	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0
89.508	22.2843	0.298566	-0.730214	-0.220512	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0
89.6214	22.2478	0.948341	-0.669209	-0.109047	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0
90.4973	21.6604	1.52255	-0.440128	0.104201	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0
90.5652	21.6765	1.53029	-0.400925	0.0854022	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0
91.7133	21.1133	1.75736	-0.214982	0.14245	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0
91.743	21.1298	1.49965	-0.404004	-0.115769	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0
92.8547	20.9434	1.4559	-0.0750306	0.148647	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0
92.9051	20.9706	1.17365	-0.0265845	0.112713	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0
93.4783	20.2424	0.506934	-0.749448	-0.385109	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0
93.5793	20.2831	1.04466	-0.551678	-0.138425	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0
95.2843	19.6461	2.96363	0.105995	0.32444	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0
95.0395	19.6527	1.65398	0.0198173	0.181847	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	0
95.517	19.7004	0.631653	0.242062	0.202901	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0
95.5365	19.7033	0.815467	0.239844	0.202409	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0
96.2511	19.2144	0.756621	-0.88688	-0.5703	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0
96.3042	19.2518	1.07048	-0.657216	-0.340443	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0
97.4982	18.7115	2.02742	-0.209285	0.108907	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0
97.4068	18.7165	1.5768	-0.397623	-0.205572	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0
98.2128	18.3675	1.13707	-0.325551	-0.0524225	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0
98.23	18.3759	1.04632	-0.360065	-0.108446	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0
99.0387	17.3779	1.56591	-1.12508	-0.489758	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0
99.0484	17.417	1.52367	-0.758184	-0.0463199	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0
99.9822	16.9652	0.952896	-0.406142	0.196343	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0
100.065	16.9783	1.03523	-0.342932	0.233864	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0
101.194	16.5372	1.75664	-0.123689	0.223957	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0
101.143	16.5262	1.37072	-0.271599	0.0485247	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0
102.378	16.3923	1.83669	0.110419	0.236581	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0
102.273	16.3843	1.25158	0.109079	0.224908	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0
103.008	15.3964	0.603108	-1.14058	-0.635798	103.003	15.353	103.119	15.4967	1.11708	-0.508169	0
102.978	15.4589	1.26552	-0.611793	-0.0051917	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0
104.095	15.2516	1.49131	0.111373	0.423299	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0
104.041	15.2466	1.33257	0.0775293	0.40383	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0
105.532	14.4756	1.85036	-0.860921	-0.382993	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0
105.48	14.4789	1.88357	-0.769309	-0.274615	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0
106.814	14.0286	1.34416	-0.309144	0.192105	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0
106.772	14.0036	1.53137	-0.302293	0.24833	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0
108.079	13.6594	1.83105	-0.0101675	0.275352	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0
